subject	rt	item_type	name	item	sentence	gender	response_type	response	slide_number_in_experiment	screenW	screenH	OS	Browser	language	enjoyment	gender	age	comments	asses	eDucation	time_in_minutes
4	32795	wohl	Jakob	abendessen	Das Abendessen ist wohl fertig geworden.	M	speakerbelief	0.84	5	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
4	32795	wohl	Jakob	abendessen	Das Abendessen ist wohl fertig geworden.	M	evidence	evidence4	5	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
4	35888	vermutlich	Benjamin	hund	Der Nachbarshund hat vermutlich gebellt.	M	speakerbelief	0.29	6	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
4	35888	vermutlich	Benjamin	hund	Der Nachbarshund hat vermutlich gebellt.	M	evidence	evidence3	6	1280	768	Windows	Firefox	deutsch	2	Female	53		Yes	2	3.489766667
5	66457	muss	Christina	regen	Es muss geregnet haben.	F	speakerbelief	0.95	3	1366	768	Windows	Mozilla	deutsch	2	Female	54		Yes	3	3.381016667
5	66458	muss	Christina	regen	Es muss geregnet haben.	F	evidence	evidence3	3	1366	768	Windows	Mozilla	deutsch	2	Female	54		Yes	3	3.381016667
5	26334	vermutlich	Angela	kaffee	Der Kaffee ist vermutlich kalt geworden.	F	speakerbelief	0.67	4	1366	768	Windows	Mozilla	deutsch	2	Female	54		Yes	3	3.381016667
5	26334	vermutlich	Angela	kaffee	Der Kaffee ist vermutlich kalt geworden.	F	evidence	evidence3	4	1366	768	Windows	Mozilla	deutsch	2	Female	54		Yes	3	3.381016667
5	33481	bare	Robert	hund	Der Nachbarshund hat gebellt.	M	speakerbelief	0.96	5	1366	768	Windows	Mozilla	deutsch	2	Female	54		Yes	3	3.381016667
5	33481	bare	Robert	hund	Der Nachbarshund hat gebellt.	M	evidence	evidence2	5	1366	768	Windows	Mozilla	deutsch	2	Female	54		Yes	3	3.381016667
5	30293	wohl	Sarah	abendessen	Das Abendessen ist wohl fertig geworden.	F	speakerbelief	0.79	6	1366	768	Windows	Mozilla	deutsch	2	Female	54		Yes	3	3.381016667
